Time,num_cases
436.25,622635
436.5,622635
436.75,622635
437,622635
437.25,622635
437.5,622635
437.75,622635
438,622635
438.25,622635
438.5,622635
438.75,622635
439,622635
439.25,622635
439.5,622635
439.75,622635
440,622635
440.25,622635
440.5,622635
440.75,622635
441,622635
441.25,622635
441.5,622635
441.75,622635
442,622635
442.25,622635
442.5,622635
442.75,622635
443,622635
443.25,622635
443.5,622635
443.75,622635
444,622635
444.25,622635
444.5,622635
444.75,622635
445,622635
445.25,622635
445.5,622635
445.75,622635
446,622635
446.25,622635
446.5,622635
446.75,622635
447,622635
447.25,622635
447.5,622635
447.75,622635
448,622635
448.25,622635
448.5,622635
448.75,622635
449,622635
449.25,622635
449.5,622635
449.75,622635
450,622635
450.25,622635
450.5,622635
450.75,622635
451,622635
451.25,622635
451.5,622635
451.75,622635
452,622635
452.25,622635
452.5,622635
452.75,622635
453,622635
453.25,622635
453.5,622635
453.75,622635
454,622635
454.25,622635
454.5,622635
454.75,622635
455,622635
455.25,622635
455.5,622635
455.75,622635
456,622635
456.25,622635
456.5,622635
456.75,622635
457,622635
457.25,622635
457.5,622635
457.75,622635
458,622635
458.25,622635
458.5,622635
458.75,622635
459,622635
459.25,622635
459.5,622635
459.75,622635
460,622635
460.25,622635
460.5,622635
460.75,622635
461,622635
461.25,622635
461.5,622635
461.75,622635
462,622635
462.25,622635
462.5,622635
462.75,622635
463,622635
463.25,622635
463.5,622635
463.75,622635
464,622635
464.25,622635
464.5,622635
464.75,622635
465,622635
465.25,622635
465.5,622635
465.75,622635
466,622635
466.25,622635
466.5,622635
466.75,622635
467,622635
467.25,622635
467.5,622635
467.75,622635
468,622635
468.25,622635
468.5,622635
468.75,622635
469,622635
469.25,622635
469.5,622635
469.75,622635
470,622635
470.25,622635
470.5,622635
470.75,622635
471,622635
471.25,622635
471.5,622635
471.75,622635
472,622635
472.25,622635
472.5,622635
472.75,622635
473,622635
473.25,622635
473.5,622635
473.75,622635
474,622635
474.25,622635
474.5,622635
474.75,622635
475,622635
475.25,622635
475.5,622635
475.75,622635
476,622635
476.25,622635
476.5,622635
476.75,622635
477,622635
477.25,622635
477.5,622635
477.75,622635
478,622635
478.25,622635
478.5,622635
478.75,622635
479,622635
479.25,622635
479.5,622635
479.75,622635
480,622635
480.25,622635
480.5,622635
480.75,622635
481,622635
481.25,622635
481.5,622635
481.75,622635
482,622635
482.25,622635
482.5,622635
482.75,622635
483,622635
483.25,622635
483.5,622635
483.75,622635
484,622635
484.25,622635
484.5,622635
484.75,622635
485,622635
485.25,622635
485.5,622635
485.75,622635
486,622635
486.25,622635
486.5,622635
486.75,622635
487,622635
487.25,622635
487.5,622635
487.75,622635
488,622635
488.25,622635
488.5,622635
488.75,622635
489,622635
489.25,622635
489.5,622635
489.75,622635
490,622635
490.25,622635
490.5,622635
490.75,622635
491,622635
491.25,622635
491.5,622635
491.75,622635
492,622635
492.25,622635
492.5,622635
492.75,622635
493,622635
493.25,622635
493.5,622635
493.75,622635
494,622635
494.25,622635
494.5,622635
494.75,622635
495,622635
495.25,622635
495.5,622635
495.75,622635
496,622635
496.25,622635
496.5,622635
496.75,622635
497,622635
497.25,622635
497.5,622635
497.75,622635
498,622635
498.25,622635
498.5,622635
498.75,622635
499,622635
499.25,622635
499.5,622635
499.75,622635
500,622635
500.25,622635
500.5,622635
500.75,622635
501,622635
501.25,622635
501.5,622635
501.75,622635
502,622635
502.25,622635
502.5,622635
502.75,622635
503,622635
503.25,622635
503.5,622635
503.75,622635
504,622635
504.25,622635
504.5,622635
504.75,622635
505,622635
505.25,622635
505.5,622635
505.75,622635
506,622635
506.25,622635
506.5,622635
506.75,622635
507,622635
507.25,622635
507.5,622635
507.75,622635
508,622635
508.25,622635
508.5,622635
508.75,622635
509,622635
509.25,622635
509.5,622635
509.75,622635
510,622635
510.25,622635
510.5,622635
510.75,622635
511,622635
511.25,622635
